,AAPL
0,170.98
1,171.03
2,170.928
3,170.93
4,171.25
5,171.17
6,171.14
7,171.1
8,171.12
9,171.112
10,171.05
11,171.141
12,171.27
13,171.368
14,171.644
15,171.74
16,171.78
17,171.84
18,171.88
19,171.96
20,171.93
21,172.03
22,171.88
23,172.041
24,172.136
25,172.03
26,171.91
27,171.93
28,171.898
29,171.9
30,171.9
31,171.77
32,171.82
33,171.825
34,171.76
35,171.825
36,171.88
37,172
38,172.04
39,171.89
40,171.78
41,171.8
42,171.82
43,171.79
44,171.97
45,171.98
46,172.07
47,172.04
48,172.11
49,172.12
50,172.14
51,172.18
52,172.21
53,172.2
54,172.26
55,172.295
56,172.232
57,172
58,172.23
59,172.25
60,172.12
61,172.07
62,172.001
63,172.01
64,172
65,172.07
66,172.03
67,171.98
68,172.007
69,172
70,171.91
71,172.01
72,171.96
73,171.76
74,171.685
75,171.78
76,171.714
77,171.76
78,171.67
79,171.695
80,171.68
81,171.59
82,171.578
83,171.59
84,171.635
85,171.692
86,171.65
87,171.59
88,171.59
89,171.53
90,171.52
91,171.57
92,171.601
93,171.54
94,171.47
95,171.5
96,171.5
97,171.5
98,171.57
99,171.525
100,171.48
101,171.53
102,171.47
103,171.545
104,171.56
105,171.67
106,171.743
107,171.79
108,171.87
109,171.96
110,172
111,172.013
112,171.99
113,172
114,172.021
115,172.1
116,172.133
117,172.16
118,172.17
119,172.15
120,172.13
121,172.17
122,172.19
123,172.21
124,172.21
125,172.27
126,172.22
127,172.32
128,172.27
129,172.17
130,172.242
131,172.22
132,172.154
133,172.32
134,172.3
135,172.418
136,172.41
137,172.42
138,172.36
139,172.44
140,172.44
141,172.41
142,172.37
143,172.38
144,172.36
145,172.38
146,172.31
147,172.22
148,172.2
149,172.3
150,172.084
151,172.3
152,172.17
153,172.12
154,172.02
155,172
156,172.066
157,172.1
158,172.14
159,172.086
160,172.11
161,172.15
162,172.18
163,172.09
164,172.12
165,172.09
166,172.13
167,172.06
168,172.03
169,172.09
170,172.08
171,172.16
172,172.1
173,172.04
174,172.11
175,172.17
176,172.16
177,172.19
178,172.18
179,172.11
180,172.1
181,172
182,172.07
183,172.1
184,172.11
185,172.08
186,172.06
187,171.92
188,171.895
189,171.85
190,171.83
191,171.86
192,171.9
193,171.85
194,171.87
195,171.84
196,171.8
197,171.77
198,171.75
199,171.842
200,171.8
201,171.83
202,171.76
203,171.78
204,171.81
205,171.69
206,171.76
207,171.68
208,171.65
209,171.572
210,171.47
211,171.41
212,171.35
213,171.29
214,171.324
215,171.27
216,171.27
217,171.26
218,171.265
219,171.23
220,171.2
221,171.15
222,171.18
223,171.2
224,171.26
225,171.29
226,171.36
227,171.34
228,171.345
229,171.31
230,171.35
231,171.35
232,171.32
233,171.343
234,171.319
235,171.27
236,171.24
237,171.17
238,171.19
239,171.21
240,171.235
241,171.2
242,171.2
243,171.2
244,171.31
245,171.3
246,171.34
247,171.328
248,171.45
249,171.4
250,171.457
251,171.49
252,171.42
253,171.395
254,171.35
255,171.36
256,171.43
257,171.42
258,171.455
259,171.44
260,171.39
261,171.4
262,171.371
263,171.39
264,171.41
265,171.37
266,171.35
267,171.42
268,171.44
269,171.51
270,171.49
271,171.46
272,171.51
273,171.45
274,171.41
275,171.32
276,171.35
277,171.34
278,171.37
279,171.371
280,171.42
281,171.515
282,171.57
283,171.51
284,171.515
285,171.54
286,171.68
287,171.67
288,171.67
289,171.67
290,171.676
291,171.685
292,171.77
293,171.82
294,171.83
295,171.86
296,171.88
297,171.831
298,171.85
299,171.83
300,171.73
301,171.74
302,171.776
303,171.82
304,171.78
305,171.7
306,171.71
307,171.77
308,171.795
309,171.8
310,171.79
311,171.88
312,171.883
313,171.83
314,171.82
315,171.795
316,171.76
317,171.68
318,171.6
319,171.63
320,171.56
321,171.57
322,171.63
323,171.62
324,171.7
325,171.74
326,171.73
327,171.794
328,171.81
329,171.87
330,171.95
331,171.92
332,171.89
333,171.89
334,171.957
335,171.9
336,171.92
337,171.97
338,172.04
339,172
340,171.99
341,172.01
342,172.051
343,171.95
344,171.957
345,171.95
346,171.91
347,171.88
348,171.63
349,171.61
350,171.665
351,171.62
352,171.59
353,171.63
354,171.69
355,171.73
356,171.77
357,171.83
358,171.79
359,171.8
360,171.88
361,171.95
362,171.88
363,171.8
364,171.6
365,171.66
366,171.606
367,171.65
368,171.59
369,171.55
370,171.57
371,171.6
372,171.64
373,171.6
374,171.48
375,171.48
376,171.39
377,171.38
378,171.41
379,171.42
380,171.41
381,171.425
382,171.385
383,171.38
384,171.34
385,171.35
386,171.34
387,171.3
388,171.29
389,171.27
390,171.28
391,171.27
392,171.3
393,171.24
394,171.23
395,171.25
396,171.25
397,171.37
398,171.36
399,171.471
400,171.5
401,171.51
402,171.48
403,171.47
404,171.5
405,171.54
406,171.511
407,171.52
408,171.44
409,171.43
410,171.38
411,171.404
412,171.44
413,171.38
414,171.34
415,171.33
416,171.463
417,171.34
418,171.416
419,171.38
420,171.4
421,171.37
422,171.3
423,171.24
424,171.27
425,171.22
426,171.23
427,171.23
428,171.185
429,171.12
430,171.356
431,171.1
432,171.04
433,171.05
434,171.06
435,171.1
436,171.08
437,171.02
438,170.99
439,171
440,171.04
441,170.98
442,170.91
443,170.79
444,170.718
445,170.7
446,170.78
447,170.855
448,170.87
449,170.9
450,170.89
451,170.75
452,170.55
453,170.64
454,170.705
455,170.74
456,170.69
457,170.631
458,170.63
459,170.72
460,170.93
461,170.8
462,170.89
463,170.705
464,170.59
465,170.6
466,170.71
467,170.71
468,170.6
469,170.62
470,170.48
471,170.45
472,170.4
473,170.41
474,170.34
475,170.326
476,170.48
477,170.54
478,170.62
479,170.59
480,170.67
481,170.72
482,170.62
