,KO
0,50.1
1,50.105
2,50.11
3,50.055
4,50.06
5,50.07
6,50.07
7,50.0757
8,50.075
9,50.095
10,50.095
11,50.03
12,50.04
13,50.015
14,50
15,50.01
16,50.03
17,50.045
18,50.05
19,50.045
20,50.0354
21,50.035
22,50.03
23,50.015
24,50.015
25,50.015
26,50
27,50.025
28,50.015
29,50.025
30,50.02
31,50
32,50.0217
33,50.02
34,50.02
35,50.03
36,50.08
37,50.085
38,50.07
39,50.06
40,50.07
41,50.07
42,50.08
43,50.075
44,50.07
45,50.0546
46,50.08
47,50.07
48,50.065
49,50.07
50,50.11
51,50.12
52,50.1101
53,50.11
54,50.1174
55,50.1348
56,50.1351
57,50.1384
58,50.1201
59,50.15
60,50.13
61,50.115
62,50.12
63,50.12
64,50.14
65,50.15
66,50.16
67,50.16
68,50.16
69,50.17
70,50.17
71,50.13
72,50.13
73,50.1
74,50.1
75,50.1
76,50.1
77,50.1
78,50.1
79,50.12
80,50.14
81,50.13
82,50.125
83,50.16
84,50.16
85,50.17
86,50.16
87,50.16
88,50.16
89,50.16
90,50.17
91,50.18
92,50.18
93,50.175
94,50.16
95,50.16
96,50.17
97,50.17
98,50.15
99,50.14
100,50.135
101,50.14
102,50.14
103,50.11
104,50.1
105,50.12
106,50.12
107,50.1
108,50.095
109,50.08
110,50.08
111,50.08
112,50.075
113,50.05
114,50.05
115,50.06
116,50.065
117,50.075
118,50.065
119,50.04
120,50.0447
121,50.055
122,50.05
123,50.04
124,50.0225
125,50.01
126,50.04
127,50.06
128,50.05
129,50.06
130,50.055
131,50.06
132,50.05
133,50.06
134,50.05
135,50.06
136,50.05
137,50.06
138,50.05
139,50.06
140,50.061
141,50.06
142,50.065
143,50.0821
144,50.08
145,50.08
146,50.09
147,50.085
148,50.11
149,50.12
150,50.125
151,50.13
152,50.125
153,50.125
154,50.13
155,50.13
156,50.13
157,50.1348
158,50.13
159,50.14
160,50.14
161,50.14
162,50.16
163,50.155
164,50.1624
165,50.18
166,50.18
167,50.17
168,50.17
169,50.175
170,50.18
171,50.18
172,50.175
173,50.17
174,50.16
175,50.17
176,50.18
177,50.19
178,50.185
179,50.18
180,50.19
181,50.175
182,50.18
183,50.18
184,50.18
185,50.18
186,50.175
187,50.155
188,50.135
189,50.13
190,50.135
191,50.15
192,50.145
193,50.15
194,50.14
195,50.15
196,50.14
197,50.135
198,50.13
199,50.15
200,50.15
201,50.1544
202,50.15
203,50.15
204,50.14
205,50.14
206,50.14
207,50.14
208,50.14
209,50.135
210,50.13
211,50.13
212,50.13
213,50.155
214,50.1501
215,50.155
216,50.17
217,50.165
218,50.165
219,50.165
220,50.17
221,50.18
222,50.18
223,50.17
224,50.14
225,50.11
226,50.1367
227,50.16
228,50.16
229,50.16
230,50.17
231,50.17
232,50.18
233,50.17
234,50.18
235,50.17
236,50.15
237,50.14
238,50.145
239,50.15
240,50.14
241,50.1357
242,50.13
243,50.111
244,50.109
245,50.1
246,50.1
247,50.0966
248,50.08
249,50.0561
250,50.05
251,50.03
252,50.035
