,PFE
0,46.235
1,46.24
2,46.25
3,46.27
4,46.25
5,46.235
6,46.2599
7,46.25
8,46.24
9,46.23
10,46.21
11,46.24
12,46.235
13,46.23
14,46.22
15,46.27
16,46.31
17,46.335
18,46.33
19,46.34
20,46.335
21,46.32
22,46.31
23,46.33
24,46.31
25,46.31
26,46.31
27,46.3134
28,46.33
29,46.33
30,46.315
31,46.3274
32,46.315
33,46.31
34,46.3
35,46.32
36,46.31
37,46.33
38,46.32
39,46.33
40,46.325
41,46.33
42,46.335
43,46.355
44,46.37
45,46.375
46,46.345
47,46.36
48,46.36
49,46.36
50,46.365
51,46.38
52,46.4
53,46.395
54,46.415
55,46.4299
56,46.4399
57,46.4421
58,46.4155
59,46.41
60,46.4
61,46.405
62,46.42
63,46.425
64,46.43
65,46.4301
66,46.425
67,46.41
68,46.385
69,46.41
70,46.43
71,46.42
72,46.415
73,46.395
74,46.395
75,46.3915
76,46.395
77,46.38
78,46.395
79,46.385
80,46.38
81,46.41
82,46.41
83,46.4145
84,46.42
85,46.43
86,46.4307
87,46.4443
88,46.41
89,46.41
90,46.39
91,46.39
92,46.41
93,46.415
94,46.4069
95,46.425
96,46.395
97,46.4
98,46.4
99,46.41
100,46.39
101,46.38
102,46.38
103,46.37
104,46.37
105,46.36
106,46.3342
107,46.34
108,46.355
109,46.3564
110,46.34
111,46.335
112,46.33
113,46.34
114,46.34
115,46.34
116,46.34
117,46.33
118,46.345
119,46.33
120,46.33
121,46.335
122,46.325
123,46.33
124,46.325
125,46.33
126,46.325
127,46.325
128,46.34
129,46.355
130,46.345
131,46.345
132,46.335
133,46.345
134,46.345
135,46.34
136,46.3399
137,46.34
138,46.29
139,46.315
140,46.315
141,46.32
142,46.315
143,46.33
144,46.345
145,46.355
146,46.355
147,46.33
148,46.34
149,46.355
150,46.355
151,46.365
152,46.365
153,46.38
154,46.375
155,46.3584
156,46.36
157,46.36
158,46.36
159,46.355
160,46.3575
161,46.33
162,46.34
163,46.345
164,46.33
165,46.34
166,46.345
167,46.345
168,46.34
169,46.32
170,46.32
171,46.32
172,46.32
173,46.31
174,46.315
175,46.32
176,46.315
177,46.33
178,46.3432
179,46.3
180,46.29
181,46.295
182,46.295
183,46.29
184,46.29
185,46.285
186,46.28
187,46.29
188,46.285
189,46.29
190,46.32
191,46.31
192,46.305
193,46.31
194,46.315
195,46.32
196,46.325
197,46.33
198,46.32
199,46.325
200,46.3301
201,46.34
202,46.33
203,46.3201
204,46.3
205,46.305
206,46.305
207,46.29
208,46.305
209,46.315
210,46.31
211,46.3
212,46.32
213,46.32
214,46.3201
215,46.34
216,46.34
217,46.345
218,46.335
219,46.335
220,46.33
221,46.335
222,46.335
223,46.335
224,46.33
225,46.34
226,46.3334
227,46.3034
228,46.315
229,46.36
230,46.37
231,46.37
232,46.365
233,46.365
234,46.38
235,46.38
236,46.3844
237,46.38
238,46.3636
239,46.3799
240,46.38
241,46.375
242,46.36
243,46.365
244,46.36
245,46.36
246,46.365
247,46.3243
248,46.335
249,46.335
250,46.3451
251,46.35
252,46.34
253,46.34
254,46.34
255,46.35
256,46.355
257,46.36
258,46.36
259,46.3605
260,46.38
261,46.385
262,46.37
263,46.365
264,46.365
265,46.3755
266,46.375
267,46.38
268,46.375
269,46.375
270,46.375
271,46.3762
272,46.37
273,46.37
274,46.365
275,46.375
276,46.38
277,46.375
278,46.3736
279,46.3735
280,46.375
281,46.355
282,46.36
283,46.37
284,46.375
285,46.375
286,46.38
287,46.385
288,46.381
289,46.385
290,46.385
291,46.38
292,46.365
293,46.345
294,46.34
295,46.35
296,46.35
297,46.34
298,46.34
299,46.33
300,46.335
301,46.33
302,46.335
303,46.335
304,46.33
305,46.3327
306,46.335
307,46.345
308,46.355
309,46.35
310,46.365
311,46.36
312,46.385
313,46.38
314,46.4
315,46.42
316,46.42
317,46.44
318,46.45
319,46.445
320,46.445
321,46.45
322,46.4356
323,46.4357
324,46.435
325,46.425
326,46.42
327,46.42
328,46.41
329,46.425
330,46.425
331,46.42
332,46.42
333,46.435
334,46.42
335,46.425
336,46.415
337,46.415
338,46.4184
339,46.38
340,46.39
341,46.385
342,46.38
343,46.385
344,46.38
345,46.38
346,46.37
347,46.36
348,46.4
349,46.39
350,46.385
351,46.39
352,46.39
353,46.391
354,46.39
355,46.395
356,46.41
357,46.41
358,46.38
359,46.3868
360,46.38
361,46.38
362,46.385
363,46.39
364,46.37
365,46.375
366,46.37
367,46.38
368,46.35
369,46.34
370,46.335
371,46.34
372,46.33
373,46.35
374,46.35
375,46.36
376,46.35
377,46.345
378,46.355
379,46.36
380,46.38
381,46.38
382,46.3808
383,46.39
384,46.38
385,46.365
386,46.36
387,46.345
388,46.335
389,46.34
390,46.335
391,46.335
392,46.33
393,46.33
394,46.32
395,46.33
396,46.33
397,46.34
398,46.33
399,46.3327
400,46.335
401,46.35
402,46.35
403,46.34
404,46.33
405,46.3229
406,46.32
407,46.33
408,46.3259
409,46.32
410,46.325
411,46.34
412,46.345
413,46.34
414,46.345
415,46.345
416,46.3438
417,46.335
418,46.335
419,46.3345
420,46.33
421,46.3233
422,46.32
423,46.29
424,46.295
425,46.3
426,46.3
427,46.305
428,46.305
429,46.305
430,46.315
431,46.31
432,46.315
433,46.32
434,46.315
435,46.3341
436,46.315
437,46.315
438,46.32
439,46.31
440,46.315
441,46.315
442,46.3179
443,46.315
444,46.3135
445,46.315
446,46.315
447,46.315
448,46.31
449,46.31
450,46.305
451,46.31
452,46.31
453,46.3138
454,46.32
455,46.3164
456,46.295
457,46.29
458,46.28
459,46.29
460,46.3
461,46.3
462,46.31
463,46.32
464,46.3201
465,46.3227
466,46.3
467,46.315
468,46.31
469,46.31
470,46.3153
471,46.31
472,46.315
473,46.32
474,46.315
475,46.31
476,46.315
477,46.315
478,46.31
479,46.33
480,46.32
481,46.32
482,46.32
483,46.31
484,46.31
485,46.31
486,46.31
487,46.29
488,46.29
489,46.3
490,46.29
491,46.29
492,46.29
493,46.27
494,46.23
495,46.23
496,46.26
497,46.255
498,46.25
499,46.23
500,46.23
501,46.24
502,46.23
503,46.23
504,46.235
505,46.245
506,46.245
507,46.25
508,46.255
509,46.255
510,46.25
511,46.255
512,46.26
513,46.265
514,46.265
515,46.265
516,46.26
517,46.255
518,46.27
519,46.28
520,46.27
521,46.261
522,46.27
523,46.27
524,46.26
525,46.2733
526,46.26
527,46.26
528,46.28
529,46.28
530,46.28
531,46.2601
532,46.275
533,46.2704
534,46.275
535,46.28
536,46.3032
537,46.2933
538,46.28
539,46.3
540,46.29
541,46.28
542,46.28
543,46.285
544,46.29
545,46.295
546,46.295
547,46.29
548,46.295
549,46.295
550,46.285
551,46.2802
552,46.28
553,46.28
554,46.275
555,46.25
556,46.26
557,46.255
558,46.25
559,46.24
560,46.24
561,46.24
562,46.2332
