,AAPL
0,148.27
1,148.19000000000003
2,148.23
3,148.28
4,148.51
5,148.55
6,148.542
7,148.61
8,148.51
9,148.546
10,148.51
11,148.546
12,148.55
13,148.48
14,148.535
15,148.51
16,148.45999999999998
17,148.58
18,148.59
19,148.45799999999997
20,148.45799999999997
21,148.403
22,148.51199999999997
23,148.569
24,148.45
25,148.19000000000003
26,148.08
27,148.08
28,148.059
29,148.01
30,148.059
31,148.01
32,147.9
33,147.92
34,147.88
35,147.924
36,147.995
37,148.00000000000003
38,148.015
39,148.01
40,148.01
41,148.17
42,148.105
43,148.101
44,148.04999999999998
45,148.11
46,148.11
47,148.14000000000001
48,148.22000000000003
49,148.25
50,148.22000000000003
51,148.25
52,148.247
53,148.22000000000003
54,148.22000000000003
55,148.24
56,148.24
57,148.17
58,148.22000000000003
59,148.27
60,148.27
61,148.31
62,148.161
63,148.17
64,148.2
65,148.24
66,148.26
67,148.25
68,148.22000000000003
69,148.27
70,148.22000000000003
71,148.27
72,148.33
73,148.17
74,148.18
75,148.24
76,148.25
77,148.26
78,148.26
79,148.321
80,148.321
81,148.335
82,148.42
83,148.429
84,148.43
85,148.37
86,148.39000000000001
87,148.385
88,148.43
89,148.5
90,148.43
91,148.5
92,148.496
93,148.42
94,148.53
95,148.49
96,148.6
97,148.55
98,148.55
99,148.6
100,148.6
101,148.58
102,148.64000000000001
103,148.79
104,148.839
105,148.99
106,148.95
107,148.91
108,148.9
109,148.92
110,148.9
111,148.92
112,148.84
113,148.8
114,148.83
115,148.83
116,148.85
117,148.79
118,148.9
119,148.93
120,148.93
121,148.83
122,148.815
123,148.82
124,148.84
125,148.8
126,148.93
127,148.93
128,148.9
129,148.855
130,148.9
131,148.855
132,148.818
133,148.77
134,148.78
135,148.771
136,148.76
137,148.78
138,148.81
139,148.883
140,148.883
141,148.92
142,149.0
143,149.05
144,149.136
145,149.12
146,149.08
147,149.095
148,149.1
149,149.0
150,149.0
151,148.954
152,149.07
153,149.09
154,149.16
155,149.13
156,149.16
157,149.15
158,149.28
159,149.29
160,149.29
161,149.26
162,149.3
