,TRV
0,113.38
1,113.38
2,113.38
3,113.33
4,113.33
5,113.57
6,113.497
7,113.75
8,113.31
9,113.29
10,113.56
11,113.17
12,113.12
13,113.18
14,113.36
15,113.18
16,113.47
17,113.4
18,113.57
19,113.23
20,113.39
21,113.39
22,113.294
23,113.294
24,113.57
25,113.17
26,113.01
27,113.01
28,113.023
29,113.05
30,113.05
31,113.05
32,113.05
33,113.26
34,112.96
35,113.31
36,113.31
37,113.31
38,113.31
39,113.17
40,112.938
41,113.05
42,113.05
43,112.94
44,113.22
45,113.22
46,113.16
47,113.4
48,113.15
49,113.315
50,113.17
51,113.17
52,113.01
53,113.01
54,112.92
55,113.22
56,113.22
57,113.07
58,113.03
59,112.99
60,113.1
61,113.058
62,113.13
63,112.97
64,113.22
65,113.22
66,113.22
67,112.91
68,112.885
69,112.885
70,112.97
71,112.94
72,112.94
73,113.09
74,112.88
75,112.83
76,112.75
77,112.81
78,112.9
79,112.9
80,112.9
81,112.871
82,112.82
83,112.78
84,112.77
85,112.73
86,112.94
87,112.841
88,112.841
89,112.72
90,112.79
91,112.6
92,112.81
93,112.81
94,112.81
95,112.81
96,112.84
97,112.84
98,112.841
99,112.958
100,112.67
101,112.67
102,112.55
103,112.615
104,112.53
105,112.56
106,112.56
107,112.65
108,112.65
109,112.63
110,112.68
111,112.68
112,112.52
113,112.51
114,112.46
115,112.36
116,112.36
117,112.3
118,112.45
119,112.37
120,112.3
121,112.56
122,112.56
123,112.37
124,112.59
125,112.41
126,112.41
127,112.41
128,112.41
129,112.53
130,112.45
131,112.45
132,112.55
133,112.65
134,112.56
135,112.56
136,112.53
137,112.53
138,112.43
139,112.43
140,112.43
141,112.43
142,112.47
143,112.44
144,112.53
145,112.37
146,112.34
147,112.34
148,112.42
149,112.37
150,112.37
151,112.365
152,112.365
153,112.27
154,112.27
155,112.21
156,112.21
157,112.21
158,112.26
159,112.25
160,112.29
161,112.25
162,112.161
163,112.06
164,112.085
165,112.085
166,112.02
167,112.02
168,112.058
169,112.11
170,112.02
171,112.01
172,112.1
173,111.97
174,112.02
175,111.9
176,112.02
177,112.02
178,112.02
179,112.01
180,111.91
181,112.03
182,112.03
183,111.96
184,111.86
185,111.96
186,111.96
187,111.895
188,111.895
189,111.87
190,111.81
191,111.93
192,111.81
193,111.73
194,111.88
195,111.88
196,111.67
197,111.61
198,111.77
199,111.65
200,111.65
201,111.65
202,111.58
203,111.67
204,111.74
205,111.74
206,111.65
207,111.57
208,111.625
209,111.625
210,111.54
211,111.54
212,111.57
213,111.57
214,111.63
215,111.7
216,111.69
217,111.62
218,111.61
219,111.56
220,111.56
221,111.54
222,111.54
223,111.72
224,111.78
225,111.775
226,111.775
227,111.89
228,111.89
229,111.8
230,111.764
231,111.96
232,111.95
233,111.875
234,111.91
235,111.66
236,111.705
237,111.65
238,111.69
239,111.51
240,111.45
241,111.43
242,111.47
243,111.48
244,111.48
245,111.4
246,111.48
247,111.33
248,111.28
249,111.28
250,111.43
251,111.183
252,111.183
253,111.39
254,111.34
255,111.26
256,111.31
257,111.35
258,111.24
259,111.24
260,111.37
261,111.3
262,111.34
263,111.3
264,111.31
265,111.4
266,111.4
267,111.28
268,111.34
269,111.35
270,111.43
271,111.52
272,111.45
273,111.505
274,111.57
275,111.63
276,111.53
277,111.65
278,111.66
279,111.61
280,111.59
281,111.56
282,111.51
283,111.59
284,111.58
285,111.44
286,111.44
287,111.5
288,111.5
289,111.52
290,111.52
291,111.52
292,111.52
293,111.52
294,111.67
295,111.69
296,111.83
297,111.93
298,111.8
299,111.93
300,111.77
301,111.77
302,111.949
303,111.84
304,112.05
305,111.96
306,112.14
307,112.065
308,112.2
309,112.1
310,112.1
311,112.01
312,112.025
313,112.025
314,112.058
315,112.09
316,112.17
317,112.1
318,112.27
319,112.233
320,112.23
321,112.195
322,112.145
323,112.09
324,112.09
325,112.055
326,112.12
327,112.09
328,112.12
329,112
330,111.94
331,111.87
332,111.87
333,112.02
334,111.955
335,112.035
336,112.01
337,111.95
338,112.03
339,111.95
340,111.98
341,112.11
342,111.95
343,111.99
344,111.99
345,112.02
346,111.88
347,112.01
348,111.76
349,111.7
350,111.68
351,111.95
352,111.8
353,111.86
354,111.83
355,112.027
356,112.027
357,112.027
358,111.874
359,111.83
360,111.83
361,111.95
362,111.83
363,111.74
364,111.73
365,111.68
366,111.66
367,111.66
368,111.66
369,111.76
370,111.71
371,111.66
