,AAPL
0,148.19
1,148.51
2,148.458
3,148.059
4,148.01
5,148.22
6,148.27
7,148.22
8,148.321
9,148.43
10,148.6
11,148.9
12,148.93
13,148.9
14,148.883
15,149
16,149.29
17,149.36
18,149.47
19,149.417
20,149.28
21,149.319
22,149.355
23,149.172
24,149.12
25,149.24
26,149.257
27,149.63
28,149.44
29,149.37
30,149.489
31,149.35
32,149.25
33,149.279
34,149.3
35,149.305
36,149.45
37,149.646
38,149.41
39,149.52
40,149.45
41,149.491
42,149.638
43,149.65
44,149.71
45,149.487
46,149.54
47,149.41
48,149.34
49,149.67
50,149.68
51,149.613
52,149.712
53,149.86
54,149.849
55,149.84
56,149.7
57,149.42
58,149.28
59,149.37
60,149.259
61,149.23
62,149.021
63,148.92
64,148.9
65,148.9
66,148.92
67,148.925
68,149.09
69,149.132
70,149.22
71,149.31
72,149.155
73,149.1
74,148.99
75,148.98
76,149.03
77,149.04
78,148.99
79,149.19
80,148.98
81,148.97
82,149.048
83,148.99
84,149.014
85,148.95
86,148.95
87,148.842
88,148.6
89,148.605
90,148.584
91,148.583
92,148.575
93,148.59
94,148.57
95,148.54
96,148.545
97,148.6
98,148.79
99,148.8
100,148.817
101,148.8
102,148.77
103,148.94
104,148.92
105,148.791
106,148.846
107,148.78
108,148.71
109,148.51
110,148.74
111,148.599
112,148.56
113,148.52
114,148.63
115,148.73
116,148.66
117,148.56
118,148.55
119,148.47
120,148.36
121,148.45
122,148.447
123,148.5
124,148.633
125,148.725
126,148.82
127,148.74
128,148.6
129,148.672
130,148.61
131,148.63
132,148.6
133,148.53
134,148.46
135,148.461
136,148.43
137,148.59
138,148.61
139,148.605
140,148.455
141,148.37
142,148.49
143,148.403
144,148.51
145,148.37
146,148.37
147,148.24
148,148.28
149,148.262
150,148.26
151,148.316
152,148.41
153,148.36
154,148.3
155,148.48
156,148.396
157,148.34
158,148.3
159,148.22
160,148.35
161,148.224
162,148.252
163,148.279
164,148.18
165,148.272
166,148.1
167,148.09
168,148.05
169,148.09
170,148.18
171,148.18
172,148.15
173,148.182
174,148.15
175,148.17
176,148.25
177,148.19
178,148.219
179,148.22
180,148.295
181,148.395
182,148.406
183,148.409
184,148.4
185,148.386
186,148.432
187,148.457
188,148.49
189,148.5
190,148.526
191,148.499
192,148.42
193,148.45
194,148.411
195,148.345
196,148.35
197,148.23
198,148.19
199,148.07
200,147.99
201,147.99
202,147.92
203,147.863
204,147.785
205,147.76
206,147.629
207,147.55
208,147.36
209,147.43
210,147.4
211,147.34
212,147.16
213,147.4
214,147.43
215,147.64
216,147.762
217,147.73
218,147.86
219,147.815
220,147.87
221,147.83
222,147.84
223,147.891
224,147.96
225,147.99
226,147.915
227,147.93
228,148.01
229,148.081
230,148.142
231,148.11
232,148.12
233,148.17
234,148.12
235,148.047
236,147.98
237,148.04
238,148
239,148.05
240,148.04
241,147.76
242,147.89
243,147.8
244,147.77
245,147.851
246,147.774
247,147.74
248,147.63
249,147.7
250,147.61
251,147.769
252,147.715
253,147.81
254,147.86
255,147.8
256,147.649
257,147.65
258,147.63
259,147.63
260,147.52
261,147.45
262,147.51
263,147.421
264,147.4
265,147.47
266,147.33
267,147.34
268,147.273
269,147.27
270,147.27
271,147.23
272,147.02
273,147.19
274,147.21
275,147.316
276,147.415
277,147.466
278,147.43
279,147.43
280,147.417
281,147.52
282,147.48
283,147.372
284,147.35
285,147.26
286,147.135
287,147.129
288,147.09
289,147.083
290,147.02
291,147
292,146.99
293,147.12
294,147.03
295,147.25
296,147.37
297,147.329
298,147.348
299,147.41
300,147.41
301,147.37
302,147.479
303,147.45
304,147.512
305,147.3
306,147.36
307,147.41
308,147.35
309,147.401
310,147.4
311,147.46
312,147.65
313,147.6
314,147.53
315,147.57
316,147.469
317,147.41
318,147.41
319,147.35
320,147.33
321,147.42
322,147.39
323,147.33
324,147.46
325,147.428
326,147.35
327,147.36
328,147.51
329,147.71
330,147.672
331,147.63
332,147.691
333,147.67
334,147.69
335,147.64
336,147.63
337,147.54
338,147.499
339,147.57
340,147.603
341,147.577
342,147.55
343,147.609
344,147.654
345,147.665
346,147.617
