,PFE
0,36.475
1,36.475
2,36.48
3,36.48
4,36.49
5,36.5
6,36.5
7,36.51
8,36.51
9,36.515
10,36.505
11,36.505
12,36.505
13,36.505
14,36.51
15,36.51
16,36.48
17,36.48
18,36.49
19,36.5
20,36.4922
21,36.505
22,36.5084
23,36.505
24,36.505
25,36.503
26,36.5
27,36.5
28,36.495
29,36.49
30,36.505
31,36.5075
32,36.505
33,36.5
34,36.5
35,36.503
36,36.505
37,36.505
38,36.5033
39,36.5
40,36.5069
41,36.5007
42,36.505
43,36.5001
44,36.505
45,36.505
46,36.485
47,36.485
48,36.5
49,36.5
50,36.5
51,36.495
52,36.4966
53,36.49
54,36.4971
55,36.5
56,36.5031
57,36.505
58,36.51
59,36.5031
60,36.515
61,36.52
62,36.51
63,36.5175
64,36.53
65,36.525
66,36.525
67,36.525
68,36.5268
69,36.53
70,36.525
71,36.5037
72,36.525
73,36.53
74,36.535
75,36.5362
76,36.5362
77,36.5243
78,36.52
79,36.53
80,36.525
81,36.5201
82,36.53
83,36.5299
84,36.53
85,36.525
86,36.525
87,36.53
88,36.53
89,36.525
90,36.525
91,36.54
92,36.55
93,36.545
94,36.55
95,36.545
96,36.55
97,36.555
98,36.56
99,36.555
100,36.555
101,36.53
102,36.52
103,36.53
104,36.53
105,36.53
106,36.55
107,36.549
108,36.54
109,36.55
110,36.55
111,36.5481
112,36.54
113,36.55
114,36.53
115,36.53
116,36.53
117,36.53
118,36.52
119,36.515
120,36.51
121,36.5193
122,36.5091
123,36.4962
124,36.49
125,36.4988
126,36.495
127,36.495
128,36.49
129,36.495
130,36.495
131,36.504
132,36.505
133,36.5
134,36.5068
135,36.5
136,36.505
137,36.505
138,36.5052
139,36.51
140,36.5038
141,36.505
142,36.5
143,36.5
144,36.5
145,36.5
146,36.505
147,36.505
148,36.5
149,36.5
150,36.4999
151,36.49
152,36.5
153,36.4962
154,36.495
155,36.5
156,36.5
157,36.5
158,36.495
159,36.49
160,36.4893
