,Time,BA_spread,Price,Smart_price,Liquid_imb,MKT_cost,Log_return
0,39:26.9,0.05,0.14827,0.148235385,0.075,-0.00078932,0
1,39:26.9,0.09,0.14819,0.14822625,0.073,-0.0007092,-0.00023439
2,39:27.0,0.06,0.14823,0.148225455,0.069,-0.0007692,0.000117211
3,39:27.0,0.06,0.14828,0.148364615,0.01,-0.00077016,0.000146469
4,39:27.0,0.06,0.14851,0.148473529,0.004,-0.00077082,0.000673121
5,39:27.0,0.08,0.14855,0.148493333,-0.047,-0.00073088,0.000116958
6,39:27.0,0.06,0.148542,0.148504286,-0.024,-0.000771,-2.33891E-05
7,39:27.0,0.05,0.14861,0.148573333,-0.025,-0.00079136,0.000198767
8,39:27.0,0.06,0.14851,0.148541053,-0.047,-0.000771,-0.000292336
9,39:27.0,0.06,0.148546,0.148555714,-0.058,-0.000771,0.000105264
10,39:37.1,0.06,0.14851,0.148541053,-0.047,0,-0.000105264
11,39:37.1,0.06,0.148546,0.148555714,-0.058,0,0.000105264
12,39:37.1,0.06,0.14855,0.1485092,-0.011,0,1.16944E-05
13,39:37.1,0.06,0.14848,0.148498,-0.03,0,-0.000204697
14,39:37.1,0.08,0.148535,0.148493333,-0.011,0,0.000160842
15,39:37.1,0.02,0.14851,0.148512857,0,0,-7.31025E-05
16,39:37.1,0.07,0.14846,0.148490333,-0.025,0,-0.000146242
17,39:37.1,0.05,0.14858,0.148553333,-0.066,0,0.000350898
18,39:37.1,0.05,0.14859,0.14854303,-0.05,0,2.92287E-05
19,39:37.1,0.05,0.148458,0.148445926,0.051,0,-0.000385977
20,39:47.2,0.05,0.148458,0.148445926,0.051,0.00158104,0
21,39:47.2,0.05,0.148403,0.148424375,0.012,0.00158068,-0.000160925
22,39:47.2,0.04,0.148512,0.1485,0.099,0.00162176,0.000318866
23,39:47.2,0.02,0.148569,0.148560417,0.083,0.00165272,0.000166653
24,39:47.2,0.06,0.14845,0.1484525,-0.026,0.0015408,-0.000347998
25,39:47.2,0.06,0.14819,0.148202857,0.079,0.00152828,-0.000761304
26,39:47.2,0.05,0.14808,0.148121667,0.009,0.00157696,-0.000322492
27,39:47.2,0.06,0.14808,0.148078571,0.019,0.00150684,0
28,39:47.2,0.05,0.148059,0.148043333,-0.01,0.00157612,-6.15939E-05
29,39:47.2,0.05,0.14801,0.1480225,0.002,0.00154624,-0.000143753
30,39:57.4,0.05,0.148059,0.148043333,-0.01,0,0.000143753
31,39:57.4,0.05,0.14801,0.1480225,0.002,0,-0.000143753
32,39:57.5,0.06,0.1479,0.14793,0.007,0,-0.000322885
33,39:57.5,0.07,0.14792,0.147875455,0.002,0,5.87242E-05
