,Time,BA_spread,Price,Smart_price,Liquid_imb,MKT_cost,Log_return
0,1,0.03,0.0406601,40.68032258,-0.008,0.00018396,0
1,10,0.03,0.0406397,40.64578947,0.002,0,-0.000217949
2,20,0.03,0.04065,40.65551724,-0.005,0,0.000110057
3,30,0.02,0.0406525,40.65444444,-0.007,-0.0004078,2.67086E-05
4,40,0.02,0.04066,40.67272727,-0.072,0.00040792,8.01158E-05
5,50,0.01,0.04064,40.63825243,-0.013,0,-0.000213675
6,60,0.01,0.04065,40.64674419,-0.16,0,0.000106851
7,70,0.01,0.040645,40.64263158,-0.08,0,-5.3422E-05
8,80,0.01,0.04066,40.665,-0.219,0,0.000160246
9,90,0.01,0.04066,40.65798658,-0.221,0,0
10,100,0.01,0.04075,40.75258065,-0.12,-0.000449,0.000960239
11,110,0.01,0.04075,40.74568966,-0.118,0.00044888,0
12,120,0.01,0.04073,40.73880952,-0.221,-0.00044876,-0.000213203
13,130,0.01,0.0407,40.706875,-0.174,0,-0.000320001
14,140,0.01,0.04076,40.75442308,-0.069,0,0.000639766
15,150,0.01,0.04077,40.76418605,-0.071,0.00044912,0.000106536
16,160,0.01,0.04081,40.81546296,-0.043,0,0.000425883
17,170,0.02,0.0408772,40.88529412,-0.009,0,0.000714545
18,180,0.01,0.04084,40.83708333,-0.008,-0.00044996,-0.000395406
19,190,0.01,0.04079,40.79347826,0.154,0,-0.000532028
20,200,0.01,0.04079,40.7957377,0.179,0,0
21,210,0.01,0.04082,40.815,0.009,0.00044972,0.000319295
22,220,0.01,0.04081,40.81481481,0.011,0,-0.000106406
23,230,0.02,0.04082,40.81742857,0.079,0,0.000106406
24,240,0.01,0.0408,40.81346535,0.102,-0.00044972,-0.000212837
25,250,0.01,0.04077,40.76654762,0.335,0.00044912,-0.000319452
26,260,0.01,0.04078,40.78401869,0.199,0,0.00010651
27,270,0.01,0.0407128,40.71642857,0.012,0,-0.00071625
28,280,0.01,0.04079,40.78507042,-0.04,0,0.000822734
29,290,0.01,0.04083,40.83277778,0.029,-0.00044996,0.000425675
30,300,0.01,0.04086,40.85578947,-0.003,0.0004502,0.000318982
31,310,0.01,0.04086,40.85238095,-0.028,0,0
32,320,0.01,0.0408832,40.885,0,0,0.000246519
33,330,0.01,0.04088,40.88650407,-0.037,0,-3.39943E-05
34,340,0.01,0.04089,40.88774436,0.054,0,0.000106223
35,350,0.01,0.0409,40.90209945,-0.006,0,0.000106197
36,360,0.01,0.0409,40.90328947,-0.036,0,0
37,370,0.01,0.04089,40.89413793,0.173,0,-0.000106197
38,380,0.01,0.04091,40.90865854,-0.188,-0.0004508,0.000212369
39,390,0.01,0.04086,40.865875,0.139,0,-0.000531117
40,400,0,0.04089,40.89,0.13,0,0.000318748
41,410,0.01,0.04091,40.91822222,-0.024,0,0.000212369
42,420,0.01,0.04095,40.94483871,0.002,0,0.000424427
43,430,0.01,0.04096,40.96493333,0.001,0,0.000106042
44,440,0.01,0.04099,40.99266667,0.028,0.00045188,0.00031797
45,450,0.01,0.04099,40.99316667,0.022,0,0
46,460,0.01,0.04099,40.98186916,0.059,0,0
47,470,0.01,0.040995,40.994,0.013,-0.00045188,5.29724E-05
48,480,0.01,0.04101,41.01188811,0.056,0,0.000158879
49,490,0.01,0.041,40.99428571,0.068,0,-0.000105913
50,500,0.01,0.04099,40.99293651,0.105,0.00045188,-0.000105938
51,510,0.01,0.041006,41.00313433,0.033,-0.000452,0.000169489
52,520,0.01,0.040985,40.97714286,0.175,0.00045164,-0.000222468
